"";"styrk98";"styrk08"
"246";"1210184";"1349"
"247";"1210185";"1431"
"248";"1210186";"1120"
"249";"1210187";"1120"
"250";"1210188";"1120"
"251";"1210189";"1120"
"252";"1210190";"1120"
"253";"1210191";"1120"
"254";"1210192";"1346"
"255";"1210193";"1120"
"256";"1210194";"1120"
"257";"1210195";"1120"
"258";"1210196";"1120"
"259";"1210197";"1420"
"260";"1210199";"1420"
"261";"1210200";"1420"
"262";"1210201";"1330"
"263";"1210202";"1439"
"264";"1210203";"1120"
"265";"1210204";"1120"
"266";"1210205";"1120"
"267";"1210206";"1420"
"268";"1210207";"1341"
"269";"1210208";"1342"
"270";"1210209";"1120"
"271";"1210210";"1349"
"272";"1210211";"1120"
"273";"1210212";"1120"
"274";"1210213";"1120"
"275";"1210214";"1120"
"276";"1210215";"1120"
"277";"1210216";"1120"
"278";"1210217";"1120"
"279";"1210218";"1120"
"280";"1210219";"1120"
"281";"1210220";"1120"
"282";"1210221";"1120"
"283";"1221101";"1311"
"284";"1221102";"1311"
"285";"1221103";"1311"
"286";"1221104";"1311"
"287";"1221105";"1311"
"288";"1221106";"1311"
"289";"1221107";"1312"
"290";"1221108";"1311"
"291";"1221110";"1311"
"292";"1221111";"1311"
"293";"1221112";"1311"
"294";"1221113";"1311"
"295";"1221114";"1311"
"296";"1221115";"1311"
"297";"1221116";"1311"
"298";"1221117";"1312"
"299";"1221118";"1321"
"300";"1221119";"1321"
"301";"1221120";"1311"
"302";"1221121";"1311"
"303";"1221122";"1311"
"304";"1221123";"1311"
"305";"1221124";"1311"
"306";"1221125";"1311"
"307";"1221126";"1311"
"308";"1221127";"1311"
"309";"1221128";"1311"
"310";"1221129";"1312"
"311";"1221130";"1312"
"312";"1221131";"1312"
"313";"1221132";"1312"
"314";"1221133";"1312"
"315";"1221134";"1312"
"316";"1221135";"1312"
"317";"1221136";"1312"
"318";"1221137";"1312"
"319";"1221138";"1312"
"320";"1221139";"1219"
"321";"1221140";"1219"
"322";"1222101";"1322"
"323";"1222102";"1322"
"324";"1222103";"1322"
"325";"1222104";"1322"
"326";"1222105";"1322"
"327";"1222106";"1322"
"328";"1222107";"1321"
"329";"1222108";"1321"
"330";"1222109";"1321"
"331";"1222110";"1321"
"332";"1222111";"1321"
"333";"1222112";"1321"
"334";"1222113";"1321"
"335";"1222114";"1322"
"336";"1222115";"1322"
"337";"1222116";"3134"
"338";"1222117";"1322"
"339";"1222118";"1321"
"340";"1222119";"1322"
"341";"1222120";"1322"
"342";"1222121";"1321"
"343";"1222122";"1322"
"344";"1222123";"1321"
"345";"1222124";"1321"
"346";"1222125";"1322"
"347";"1222126";"1321"
"348";"1222127";"1322"
"349";"1222128";"1322"
"350";"1222129";"1321"
"351";"1222130";"1321"
"352";"1222131";"1321"
"353";"1222132";"1321"
"354";"1222133";"1322"
"355";"1222134";"1321"
"356";"1222135";"3121"
"357";"1222136";"1322"
"358";"1222137";"1322"
"359";"1222138";"1322"
"360";"1222139";"1322"
"361";"1222140";"1322"
"362";"1222141";"1322"
"363";"1222142";"1322"
"364";"1222143";"1322"
