gammel_grk;siste
03013919;03013900
03013920;03013900
03013921;03013900
03013922;03013900
03013923;03013900
03014001;03014000
03014002;03014000
03014003;03014000
03014004;03014000
03014005;03014000
03014006;03014000
03014007;03014000
03014008;03014000
03014009;03014000
03014010;03014000
03014011;03014000
03014012;03014000
03014013;03014000
03014014;03014000
03014015;03014000
03014016;03014000
03014017;03014000
03014018;03014000
03014101;03014100
03014102;03014100
03014103;03014100
03014104;03014100
03014105;03014100
03014107;03014100
03014108;03014100
03014109;03014100
03014111;03014100
03014112;03014100
03014113;03014100
03014114;03014100
03014115;03014100
03014116;03014100
03014117;03014100
03014118;03014100
03014119;03014100
03014120;03014100
03014121;03014100
03014122;03014100
03014123;03014100
03014124;03014100
03014125;03014100
03014126;03014100
03014202;03014200
03014203;03014200
03014204;03014200
03014205;03014200
03014206;03014200
03014207;03014200
03014208;03014200
03014209;03014200
03014210;03014200
03014211;03014200
03014212;03014200
03014213;03014200
03014214;03014200
03014301;03014300
03014304;03014300
03014306;03014300
03014307;03014300
03014308;03014300
03014309;03014300
03014310;03014300
03014311;03014300
03014312;03014300
03014313;03014300
03014314;03014300
03014315;03014300
03014401;03014400
03014402;03014400
03014403;03014400
03014405;03014400
03014406;03014400
03014407;03014400
03014408;03014400
03014409;03014400
03014410;03014400
03014411;03014400
03014412;03014400
03014413;03014400
03014414;03014400
03014415;03014400
03014416;03014400
03014417;03014400
03014418;03014400
03014419;03014400
03014420;03014400
03014501;03014500
03014502;03014500
03014503;03014500
03014504;03014500
03014505;03014500
03014506;03014500
03014507;03014500
03014508;03014500
03014509;03014500
03014510;03014500
03014511;03014500
03014512;03014500
03014513;03014500
03014601;03014600
03014602;03014600
03014603;03014600
03014604;03014600
03014605;03014600
03014606;03014600
03014607;03014600
03014608;03014600
03014609;03014600
03014610;03014600
03014611;03014600
03014701;03014700
03014702;03014700
03014703;03014700
03014704;03014700
03014705;03014700
03014706;03014700
03014801;03014800
03014802;03014800
03014803;03014800
03014804;03014800
03014805;03014800
03014806;03014800
03014901;03014900
03014902;03014900
03014903;03014900
03014904;03014900
03014905;03014900
03014906;03014900
03014907;03014900
03014908;03014900
03014909;03014900
03014910;03014900
03014911;03014900
03014912;03014900
03015001;03015000
03015002;03015000
03015003;03015000
03015004;03015000
03015005;03015000
03015006;03015000
03015007;03015000
03015008;03015000
03015101;03015100
03015102;03015100
03015103;03015100
03015201;03015200
03015202;03015200
03015203;03015200
03015204;03015200
03015206;03015200
03015207;03015200
03015208;03015200
03015209;03015200
03015210;03015200
03015211;03015200
03015212;03015200
03015301;03015300
03015302;03015300
03015303;03015300
03015401;03015400
03015402;03015400
03015403;03015400
03015405;03015400
03015406;03015400
03015407;03015400
03015408;03015400
03015501;03015500
03015502;03015500
03015503;03015500
03015504;03015500
03015601;03015600
03015602;03015600
03015603;03015600
03015701;03015700
03015801;03015800
03015802;03015800
03015803;03015800
03015804;03015800
03015805;03015800
03015901;03015900
03015902;03015900
03016001;03016000
03016002;03016000
03016003;03016000
03016004;03016000
03016005;03016000
03016006;03016000
03016007;03016000
03019999;03019900
11010101;11010100
11010102;11010100
11010103;11010100
11010104;11010100
11010105;11010100
11010201;11010200
11010202;11010200
11010203;11010200
11010204;11010200
11010301;11010300
11010302;11010300
11010303;11010300
11010304;11010300
11010305;11010300
11010306;11010300
11010401;11010400
11010402;11010400
11010403;11010400
11010404;11010400
11010405;11010400
11010406;11010400
11010407;11010400
11010408;11010400
11010409;11010400
11010501;11010500
11010502;11010500
11010503;11010500
11010504;11010500
11010505;11010500
11010601;11010600
11010602;11010600
11010603;11010600
11010604;11010600
11010605;11010600
11010606;11010600
11010607;11010600
11010608;11010600
11019999;11019900
11030101;11030100
11030102;11030100
11030104;11030100
11030105;11030100
11030201;11030200
11030202;11030200
11030203;11030200
11030205;11030200
11030206;11030200
11030207;11030200
11030302;11030300
11030303;11030300
11030304;11030300
11030305;11030300
11030401;11030400
11030402;11030400
11030405;11030400
11030406;11030400
11030407;11030400
11030408;11030400
11030409;11030400
11030501;11030500
11030502;11030500
11030503;11030500
11030504;11030500
11030506;11030500
11030507;11030500
11030509;11030500
11030510;11030500
11030511;11030500
11030512;11030500
11030601;11030600
11030602;11030600
11030603;11030600
11030604;11030600
11030606;11030600
11030607;11030600
11030608;11030600
11030611;11030600
11030612;11030600
11030613;11030600
11030614;11030600
11030615;11030600
11030616;11030600
11030701;11030700
11030702;11030700
11030704;11030700
11030705;11030700
11030706;11030700
11030707;11030700
11030708;11030700
11030709;11030700
11030710;11030700
11030711;11030700
11030712;11030700
11030801;11030800
11030802;11030800
11030803;11030800
11030804;11030800
11030805;11030800
11030806;11030800
11030807;11030800
11030901;11030900
11030905;11030900
11030906;11030900
11030907;11030900
11030909;11030900
11030910;11030900
11030911;11030900
11030912;11030900
11030913;11030900
11030914;11030900
11030915;11030900
11030916;11030900
11031001;11031000
11031002;11031000
11031003;11031000
11031004;11031000
11031005;11031000
11031006;11031000
11031007;11031000
11031008;11031000
11031009;11031000
11031010;11031000
11031011;11031000
11031012;11031000
11031013;11031000
11031014;11031000
11031015;11031000
11031016;11031000
11031017;11031000
11031018;11031000
11031019;11031000
11031101;11031100
11031102;11031100
11031104;11031100
11031105;11031100
11031106;11031100
11031205;11031200
11031206;11031200
11031207;11031200
11031208;11031200
11031209;11031200
11031210;11031200
11031211;11031200
11031214;11031200
11031215;11031200
11031216;11031200
11031217;11031200
11031218;11031200
11031219;11031200
11031220;11031200
11031221;11031200
11031222;11031200
11031223;11031200
11031224;11031200
11031225;11031200
11031226;11031200
11031301;11031300
11031302;11031300
11031303;11031300
11031304;11031300
11031401;11031400
11031402;11031400
11031403;11031400
11031404;11031400
11031405;11031400
11031406;11031400
11031701;11031700
11031712;11031700
11031713;11031700
11031714;11031700
11031715;11031700
11031716;11031700
11031717;11031700
11031718;11031700
11031719;11031700
11031722;11031700
11031723;11031700
11031724;11031700
11031725;11031700
11031726;11031700
11031727;11031700
11031728;11031700
11031729;11031700
11031730;11031700
11031731;11031700
11031733;11031700
11031734;11031700
11031735;11031700
11031736;11031700
11031737;11031700
11031738;11031700
11031739;11031700
11031740;11031700
11031741;11031700
11031742;11031700
11031743;11031700
11031744;11031700
11031802;11031800
11031803;11031800
11031806;11031800
11031807;11031800
11031809;11031800
11031810;11031800
11031811;11031800
11031813;11031800
11031814;11031800
11031815;11031800
11031816;11031800
11031902;11031900
11031903;11031900
11031904;11031900
11031905;11031900
11031906;11031900
11031907;11031900
11032001;11032000
11032004;11032000
11032005;11032000
11032007;11032000
11032008;11032000
11032009;11032000
11032010;11032000
11032011;11032000
11032012;11032000
11032101;11032100
11032102;11032100
11032104;11032100
11032105;11032100
11032202;11032200
11032203;11032200
11032204;11032200
11032205;11032200
11032206;11032200
11032207;11032200
11032208;11032200
11032302;11032300
11032304;11032300
11032305;11032300
11032306;11032300
11032307;11032300
11032308;11032300
11032309;11032300
11032310;11032300
11032401;11032400
11032402;11032400
11032403;11032400
11032404;11032400
11032504;11032500
11032505;11032500
11032506;11032500
11032508;11032500
11032509;11032500
11032510;11032500
11032511;11032500
11032512;11032500
11032513;11032500
11032514;11032500
11032515;11032500
11032603;11032600
11032605;11032600
11032606;11032600
11032607;11032600
11032608;11032600
11032609;11032600
11032610;11032600
11032703;11032700
11032705;11032700
11032708;11032700
11032709;11032700
11032710;11032700
11032711;11032700
11032712;11032700
11032714;11032700
11032715;11032700
11032716;11032700
11032717;11032700
11032718;11032700
11032719;11032700
11032720;11032700
11032721;11032700
11032722;11032700
11032723;11032700
11032724;11032700
11032725;11032700
11032726;11032700
11032727;11032700
11039999;11039900
11060101;11060100
11060102;11060100
11060103;11060100
11060104;11060100
11060105;11060100
11060106;11060100
11060107;11060100
11060108;11060100
11060109;11060100
11060201;11060200
11060202;11060200
11060203;11060200
11060204;11060200
11060205;11060200
11060206;11060200
11060207;11060200
11060208;11060200
11060209;11060200
11060210;11060200
11060211;11060200
11060212;11060200
11060213;11060200
11060301;11060300
11060302;11060300
11060303;11060300
11060304;11060300
11060305;11060300
11060306;11060300
11060307;11060300
11060401;11060400
11060402;11060400
11060403;11060400
11060404;11060400
11060501;11060500
11060502;11060500
11060503;11060500
11060504;11060500
11060505;11060500
11060506;11060500
11060507;11060500
11060508;11060500
11060509;11060500
11060510;11060500
11060511;11060500
11060512;11060500
11060513;11060500
11060514;11060500
11060515;11060500
11060516;11060500
11060517;11060500
11060518;11060500
11060519;11060500
11060520;11060500
11060601;11060600
11060602;11060600
11060603;11060600
11060604;11060600
11060605;11060600
11060606;11060600
11060701;11060700
11060702;11060700
11060703;11060700
11060704;11060700
11060705;11060700
11060706;11060700
11060707;11060700
11060709;11060700
11060710;11060700
11060711;11060700
11060712;11060700
11060713;11060700
11060714;11060700
11060715;11060700
11060801;11060800
11060802;11060800
11060803;11060800
11060804;11060800
11060805;11060800
11060806;11060800
11060807;11060800
11060808;11060800
11060809;11060800
11060901;11060900
11060902;11060900
11060903;11060900
11060904;11060900
11060905;11060900
11060906;11060900
11060907;11060900
11060908;11060900
11060909;11060900
11060910;11060900
11060911;11060900
11060912;11060900
11060913;11060900
11060914;11060900
11060915;11060900
11060916;11060900
11060917;11060900
11060918;11060900
11060919;11060900
11060920;11060900
11069999;11069900
11080101;11080100
11080102;11080100
11080103;11080100
11080104;11080100
11080105;11080100
11080106;11080100
11080107;11080100
11080108;11080100
11080109;11080100
11080110;11080100
11080111;11080100
11080112;11080100
11080113;11080100
11080114;11080100
11080115;11080100
11080116;11080100
11080117;11080100
11080118;11080100
11080119;11080100
11080122;11080100
11080123;11080100
11080124;11080100
11080201;11080200
11080202;11080200
11080203;11080200
11080204;11080200
11080205;11080200
11080206;11080200
11080207;11080200
11080208;11080200
11080209;11080200
11080210;11080200
11080211;11080200
11080212;11080200
11080213;11080200
11080214;11080200
11080301;11080300
11080302;11080300
11080303;11080300
11080304;11080300
11080305;11080300
11080401;11080400
11080402;11080400
11080403;11080400
11080404;11080400
11080405;11080400
11080406;11080400
11080501;11080500
11080502;11080500
11080503;11080500
11080504;11080500
11080505;11080500
11080506;11080500
11080507;11080500
11080601;11080600
11080602;11080600
11080603;11080600
11080604;11080600
11080605;11080600
11080606;11080600
11080607;11080600
11080608;11080600
11080609;11080600
11080611;11080600
11080612;11080600
11080613;11080600
11080614;11080600
11080615;11080600
11080616;11080600
11080617;11080600
11080618;11080600
11080619;11080600
11080701;11080700
11080702;11080700
11080703;11080700
11080704;11080700
11080705;11080700
11080706;11080700
11080707;11080700
11080708;11080700
11080709;11080700
11080710;11080700
11080801;11080800
11080802;11080800
11080803;11080800
11080804;11080800
11080805;11080800
11080806;11080800
11080807;11080800
11080808;11080800
11080901;11080900
11080902;11080900
11080903;11080900
11080904;11080900
11080905;11080900
11080906;11080900
11080907;11080900
11080908;11080900
11080909;11080900
11080910;11080900
11081001;11081000
11081002;11081000
11081003;11081000
11081004;11081000
11081102;11081100
11081103;11081100
11081104;11081100
11081105;11081100
11081106;11081100
11081107;11081100
11089999;11089900
11110101;11110100
11110102;11110100
11110103;11110100
11110104;11110100
11110105;11110100
11110106;11110100
11110107;11110100
11110108;11110100
11110109;11110100
11110110;11110100
11110111;11110100
11110112;11110100
11110113;11110100
11110114;11110100
11110115;11110100
11110116;11110100
11110117;11110100
11119999;11119900
11120101;11120100
11120102;11120100
11120103;11120100
11120104;11120100
11120105;11120100
11120106;11120100
11120201;11120200
11120202;11120200
11120203;11120200
11120301;11120300
11120302;11120300
11120303;11120300
11120304;11120300
11129999;11129900
11140101;11140100
11140102;11140100
11140103;11140100
11140104;11140100
11140105;11140100
11140106;11140100
11140107;11140100
11140108;11140100
11140109;11140100
11140110;11140100
11140111;11140100
11149999;11149900
11190101;11190100
11190102;11190100
11190103;11190100
11190104;11190100
11190105;11190100
11190201;11190200
11190202;11190200
11190203;11190200
11190204;11190200
11190205;11190200
11190206;11190200
11190207;11190200
11190208;11190200
11190209;11190200
11190210;11190200
11190211;11190200
11190212;11190200
11190213;11190200
11190214;11190200
11190215;11190200
11190301;11190300
11190302;11190300
11190303;11190300
11190304;11190300
11190305;11190300
11190306;11190300
11190307;11190300
11190308;11190300
11190309;11190300
11190401;11190400
11190402;11190400
11190403;11190400
11190404;11190400
11190405;11190400
11190406;11190400
11190407;11190400
11190501;11190500
11190502;11190500
11190503;11190500
11190504;11190500
11190505;11190500
11190506;11190500
11199999;11199900
11200101;11200100
11200102;11200100
11200103;11200100
11200104;11200100
11200105;11200100
11200106;11200100
11200107;11200100
11200108;11200100
11200109;11200100
11200110;11200100
11200201;11200200
11200202;11200200
11200203;11200200
11200204;11200200
11200205;11200200
11200206;11200200
11200207;11200200
11200208;11200200
11200209;11200200
11200210;11200200
11200211;11200200
11200301;11200300
11200302;11200300
11200303;11200300
11200304;11200300
11200305;11200300
11200306;11200300
11200307;11200300
11200401;11200400
11200402;11200400
11200403;11200400
11200404;11200400
11200501;11200500
11200502;11200500
11200503;11200500
11200504;11200500
11200505;11200500
11200506;11200500
11200507;11200500
11209999;11209900
11210101;11210100
11210102;11210100
11210103;11210100
11210104;11210100
11210105;11210100
11210106;11210100
11210107;11210100
11210108;11210100
11210109;11210100
11210110;11210100
11210201;11210200
11210202;11210200
11210203;11210200
11210204;11210200
11210205;11210200
11210301;11210300
11210302;11210300
11210303;11210300
11210304;11210300
11210305;11210300
11210306;11210300
11210307;11210300
11210308;11210300
11210401;11210400
11210402;11210400
11210403;11210400
11210404;11210400
11210405;11210400
11210406;11210400
11210407;11210400
11210501;11210500
11210502;11210500
11210503;11210500
11210504;11210500
11210505;11210500
11219999;11219900
11220101;11220100
11220102;11220100
11220103;11220100
11220104;11220100
11220105;11220100
11220106;11220100
11220107;11220100
11220108;11220100
11220109;11220100
11220110;11220100
11220111;11220100
11220112;11220100
11220113;11220100
11220114;11220100
11220115;11220100
11220201;11220200
11220202;11220200
11220301;11220300
11220302;11220300
11220303;11220300
11220304;11220300
11220305;11220300
11220306;11220300
11220307;11220300
11229999;11229900
11240101;11240100
11240102;11240100
11240103;11240100
11240104;11240100
11240105;11240100
11240106;11240100
11240107;11240100
11240201;11240200
11240202;11240200
11240203;11240200
11240301;11240300
11240302;11240300
11240303;11240300
11240304;11240300
11240401;11240400
11240402;11240400
11240403;11240400
11240501;11240500
11240502;11240500
11240503;11240500
11240504;11240500
11240601;11240600
11240602;11240600
11240603;11240600
11240604;11240600
11240605;11240600
11249999;11249900
11270101;11270100
11270102;11270100
11270201;11270200
11270301;11270300
11270302;11270300
11270401;11270400
11270402;11270400
11270403;11270400
11270404;11270400
11279999;11279900
11300101;11300100
11300102;11300100
11300103;11300100
11300104;11300100
11300105;11300100
11300106;11300100
11300107;11300100
11300108;11300100
11300109;11300100
11300110;11300100
11300111;11300100
11300112;11300100
11300113;11300100
11300114;11300100
11300115;11300100
11300116;11300100
11300201;11300200
11300202;11300200
11300203;11300200
11300204;11300200
11300205;11300200
11300206;11300200
11300207;11300200
11300208;11300200
11300209;11300200
11300210;11300200
11300211;11300200
11309999;11309900
11330101;11330100
11330102;11330100
11330104;11330100
11330105;11330100
11330106;11330100
11330107;11330100
11330108;11330100
11330109;11330100
11330110;11330100
11330111;11330100
11330112;11330100
11330113;11330100
11330114;11330100
11330115;11330100
11330116;11330100
11330117;11330100
11330118;11330100
11330119;11330100
11339999;11339900
11340101;11340100
11340102;11340100
11340103;11340100
11340104;11340100
11340201;11340200
11340202;11340200
11340203;11340200
11340204;11340200
11340205;11340200
11340206;11340200
11340207;11340200
11340208;11340200
11340209;11340200
11340210;11340200
11340301;11340300
11340302;11340300
11340303;11340300
11340304;11340300
11340305;11340300
11340306;11340300
11340307;11340300
11340308;11340300
11340309;11340300
11340310;11340300
11349999;11349900
11350101;11350100
11350102;11350100
11350103;11350100
11350104;11350100
11350105;11350100
11350106;11350100
11350201;11350200
11350202;11350200
11350203;11350200
11350204;11350200
11350301;11350300
11350302;11350300
11350303;11350300
11350304;11350300
11350401;11350400
11350402;11350400
11350403;11350400
11350501;11350500
11350502;11350500
11350503;11350500
11350504;11350500
11350505;11350500
11359999;11359900
11440101;11440100
11440102;11440100
11440103;11440100
11440104;11440100
11440105;11440100
11440106;11440100
11440107;11440100
11449999;11449900
11450101;11450100
11450102;11450100
11450103;11450100
11450104;11450100
11450105;11450100
11459999;11459900
11460101;11460100
11460102;11460100
11460103;11460100
11460104;11460100
11460105;11460100
11460106;11460100
11460107;11460100
11460108;11460100
11460109;11460100
11460110;11460100
11460201;11460200
11460202;11460200
11460203;11460200
11460204;11460200
11460205;11460200
11460206;11460200
11460207;11460200
11460208;11460200
11460209;11460200
11460210;11460200
11460211;11460200
11460212;11460200
11460213;11460200
11460214;11460200
11460301;11460300
11460302;11460300
11460303;11460300
11460304;11460300
11460305;11460300
11460306;11460300
11460307;11460300
11460308;11460300
11460309;11460300
11460310;11460300
11460311;11460300
11469999;11469900
11490101;11490100
11490102;11490100
11490103;11490100
11490104;11490100
11490105;11490100
11490201;11490200
11490202;11490200
11490203;11490200
11490204;11490200
11490301;11490300
11490302;11490300
11490303;11490300
11490304;11490300
11490305;11490300
11490306;11490300
11490307;11490300
11490308;11490300
11490309;11490300
11490401;11490400
11490402;11490400
11490403;11490400
11490404;11490400
11490501;11490500
11490502;11490500
11490503;11490500
11490504;11490500
11490505;11490500
11490506;11490500
11490507;11490500
11490508;11490500
11490509;11490500
11490510;11490500
11490511;11490500
11490512;11490500
11490513;11490500
11490601;11490600
11490602;11490600
11490603;11490600
11490604;11490600
11490605;11490600
11490606;11490600
11490607;11490600
11490608;11490600
11490609;11490600
11490610;11490600
11490701;11490700
11490702;11490700
11490703;11490700
11490704;11490700
11490705;11490700
11490706;11490700
11490801;11490800
11490802;11490800
11490803;11490800
11490804;11490800
11490805;11490800
11490806;11490800
11490901;11490900
11490902;11490900
11490903;11490900
11490904;11490900
11490905;11490900
11490906;11490900
11490907;11490900
11490908;11490900
11490909;11490900
11491001;11491000
11491002;11491000
11491003;11491000
11491004;11491000
11491007;11491000
11491008;11491000
11491009;11491000
11491010;11491000
11491011;11491000
11491012;11491000
11491013;11491000
11491014;11491000
11491015;11491000
11499999;11499900
11510101;11510100
11519999;11519900
11600101;11600100
11600102;11600100
11600103;11600100
11600104;11600100
11600105;11600100
11600106;11600100
11600201;11600200
11600202;11600200
11600203;11600200
11600204;11600200
11600205;11600200
11600206;11600200
11600207;11600200
11600301;11600300
11600302;11600300
11600303;11600300
11600304;11600300
11600305;11600300
11600401;11600400
11600402;11600400
11600403;11600400
11600404;11600400
11600501;11600500
11600502;11600500
11600503;11600500
11600601;11600600
11600602;11600600
11600603;11600600
11600604;11600600
11600605;11600600
11600701;11600700
11600702;11600700
11600703;11600700
11600704;11600700
11600705;11600700
11600706;11600700
11609999;11609900
15050101;15050100
15050102;15050100
15050103;15050100
15050201;15050200
15050202;15050200
15050203;15050200
15050204;15050200
15050205;15050200
15050206;15050200
15050301;15050300
15050302;15050300
15050303;15050300
15050304;15050300
15050305;15050300
15050306;15050300
15050401;15050400
15050402;15050400
15050403;15050400
15050404;15050400
15050501;15050500
15050502;15050500
15050503;15050500
15050504;15050500
15050505;15050500
15050506;15050500
15050601;15050600
15050602;15050600
15050603;15050600
15050604;15050600
15050701;15050700
15050702;15050700
15050703;15050700
15050704;15050700
15050801;15050800
15050802;15050800
15050803;15050800
15050804;15050800
15050805;15050800
15050806;15050800
15050807;15050800
15050901;15050900
15050902;15050900
15050903;15050900
15051101;15051100
15051102;15051100
15051103;15051100
15051104;15051100
15051105;15051100
15051106;15051100
15051201;15051200
15051202;15051200
15051203;15051200
15051204;15051200
15051205;15051200
15051301;15051300
15051302;15051300
15051303;15051300
15059999;15059900
15060101;15060100
15060102;15060100
15060103;15060100
15060104;15060100
15060105;15060100
15060106;15060100
15060201;15060200
15060202;15060200
15060203;15060200
15060204;15060200
15060205;15060200
15060206;15060200
15060207;15060200
15060301;15060300
15060302;15060300
15060303;15060300
15060304;15060300
15060305;15060300
15060306;15060300
15060307;15060300
15060401;15060400
15060402;15060400
15060403;15060400
15060404;15060400
15060405;15060400
15060406;15060400
15060501;15060500
15060502;15060500
15060503;15060500
15060504;15060500
15060505;15060500
15060506;15060500
15060507;15060500
15060508;15060500
15060509;15060500
15060510;15060500
15060601;15060600
15060602;15060600
15060603;15060600
15060604;15060600
15060605;15060600
15060606;15060600
15060607;15060600
15060608;15060600
15060701;15060700
15060702;15060700
15060703;15060700
15060704;15060700
15060705;15060700
15060706;15060700
15060707;15060700
15060801;15060800
15060802;15060800
15060803;15060800
15060804;15060800
15060805;15060800
15060806;15060800
15060807;15060800
15060808;15060800
15060809;15060800
15060810;15060800
15060811;15060800
15060812;15060800
15060813;15060800
15060814;15060800
15060901;15060900
15060902;15060900
15060903;15060900
15060904;15060900
15060905;15060900
15060906;15060900
15061001;15061000
15061002;15061000
15061003;15061000
15061004;15061000
15061005;15061000
15061006;15061000
15061007;15061000
15061008;15061000
15061009;15061000
15061010;15061000
15061011;15061000
15069999;15069900
15070101;15070100
15070102;15070100
15070103;15070100
15070104;15070100
15070201;15070200
15070202;15070200
15070203;15070200
15070204;15070200
15070205;15070200
15070206;15070200
15070301;15070300
15070302;15070300
15070303;15070300
15070304;15070300
15070305;15070300
15070306;15070300
15070307;15070300
15070308;15070300
15070309;15070300
15070401;15070400
15070402;15070400
15070403;15070400
15070404;15070400
15070405;15070400
15070501;15070500
