gammel_grk;siste
070602;071002
070602;390702
070603;071003
070603;390703
070604;071004
070604;390704
070605;071005
070605;390705
070606;071006
070606;390706
070607;071007
070607;390707
070608;071008
070608;390708
070609;071009
070609;390709
070610;071010
070610;390710
070611;071011
070611;390711
070901;071201
070901;390901
070902;071202
070902;390902
070903;071203
070903;390903
070904;071204
070904;390904
070905;071205
070905;390905
070906;071206
070906;390906
070907;071207
070907;390907
070908;071208
070908;390908
070909;071209
070909;390909
070910;071210
070910;390910
070911;071211
070911;390911
070912;071212
070912;390912
070913;071213
070913;390913
070914;071214
070914;390914
070915;071215
070915;390915
070916;071216
070916;390916
071001;390701
071002;390702
071003;390703
071004;390704
071005;390705
071006;390706
071007;390707
071008;390708
071009;390709
071010;390710
071011;390711
071012;390712
071013;390713
071014;390714
071015;390715
071016;390716
071017;390717
071101;330115
071102;330116
071103;330117
071201;390901
071202;390902
071203;390903
071204;390904
071205;390905
071206;390906
071207;390907
071208;390908
071209;390909
071210;390910
071211;390911
071212;390912
071213;390913
071214;390914
071215;390915
071216;390916
071217;390917
071301;390306
071302;390307
071303;390308
071401;071504
071401;390304
071402;071505
071402;390305
071501;390301
071502;390302
071503;390303
071504;390304
071505;390305
071601;390301
071601;390514
071602;390515
071603;390516
071604;390517
071801;390516
071802;390517
071901;071012
071901;390712
071902;071013
071902;390713
071903;071014
071903;390714
072001;071015
072001;390501
072001;390715
072002;071016
072002;390716
072003;071017
072003;390501
072003;390717
072201;072901
072201;391101
072202;072902
072202;391102
072203;072903
072203;391103
072204;072904
072204;391104
072205;072905
072205;391105
072206;072906
072206;391106
072207;072907
072207;391107
072301;072908
072301;391108
072801;071217
072801;390917
072901;391101
072902;391102
072903;391103
072904;391104
072905;391105
072906;391106
072907;391107
072908;391108
080501;400101
080502;400102
080503;400103
080504;400104
080505;400105
080506;400106
080507;400107
080508;400108
080509;400109
080510;400110
080511;400111
080601;400301
080602;400302
080603;400303
080604;400304
080605;400305
080606;400306
080607;400307
080608;400308
080609;400309
080610;400310
080611;400311
080612;400312
080613;400313
080614;400314
080615;400315
080616;400316
080617;400317
080618;400318
080619;400319
080701;400501
080702;400502
080703;400503
080704;400504
080705;400505
080706;400506
081101;401001
081401;401201
081402;401202
081403;401203
081404;401204
081405;401205
081501;401401
081502;401402
081503;401403
081504;401404
081505;401405
081701;401601
081702;401602
081703;401603
081901;401801
081902;401802
081903;401803
082101;402001
082102;402002
082201;402003
082201;400506
082202;402004
082601;402601
082602;402602
082603;402603
082701;402401
082801;402201
082802;402202
082803;402203
082901;402801
083001;403001
083101;403201
083301;403401
083401;403601
083402;403602
090101;420101
090102;420102
090103;420103
090401;420201
090402;420202
090403;420203
090404;420204
090611;420311
090612;420312
090613;420313
090621;420321
090622;420322
090631;420331
090641;420341
090642;420342
090643;420343
090651;420351
090652;420352
090653;420353
090654;420354
091101;421101
091102;421102
091201;421201
091401;421301
091402;421302
091403;421303
091404;421304
091901;421401
092601;421501
092602;421502
092801;421601
092802;421602
092802;421901
092901;421701
093501;421801
093701;421901
093702;421902
093801;422001
094001;422101
094101;422201
100101;420401
100102;420402
100103;420403
100104;420404
100105;420405
100106;420406
100107;420407
100108;420408
100109;420409
100111;420411
100112;420412
100113;420413
100114;420414
100115;420415
100116;420416
100117;420417
100118;420418
100119;420419
100201;420501
100202;420502
100203;420503
100204;420504
100206;420506
100207;420507
100208;420508
100209;420509
100301;420601
100302;420602
100303;420603
100401;420701
100402;420702
100403;420703
100404;420704
101401;422301
101402;422302
101403;422303
101404;422304
101701;420422
101702;420423
101703;420424
101704;420425
101801;420420
101802;420421
102101;420510
102601;422401
102701;422504
102901;420505
103201;422501
103202;422502
103203;422503
103401;422601
103402;422602
103701;422701
103702;422702
103703;422703
103704;422704
104601;422801
110201;110801
110202;110802
110203;110803
110204;110804
110205;110805
110206;110806
110207;110807
110208;110808
110209;110809
110210;110810
112001;112001
112104;112201
112901;113001
112901;110811
113301;110310
114101;110310
114201;110313
114202;110314
115401;116001
115402;116002
115403;116003
115404;116004
115405;116005
115901;116006
115902;116007
120101;460101
120102;460102
120103;460103
120104;460104
120105;460105
120106;460106
120107;460107
120108;460108
120109;460109
120110;460110
120111;460111
120112;460112
120113;460113
120114;460114
120115;460115
120116;460116
120117;460117
120118;460118
120119;460119
120120;460120
121101;461101
121102;461102
121401;116006
121402;116007
121601;461201
121602;461202
121901;461301
121902;461302
121903;461303
121904;461304
121905;461305
122101;461401
122102;461402
122103;461403
122104;461404
122105;461405
122201;461501
122301;461601
122401;461701
122402;461702
122403;461808
122403;461703
122404;461704
122405;461705
122406;461706
122407;461707
122408;461708
122409;461709
122701;461808
122801;461801
122802;461802
122803;461803
122804;461804
122805;461805
123101;461806
123102;461807
123102;462110
123201;461901
123301;462001
123401;462110
123501;462101
123502;462102
123503;462103
123504;462104
123505;462105
123506;462106
123507;462107
123508;462108
123509;462109
123801;462201
123802;462202
123803;462203
123804;462204
124101;462405
124102;462406
124201;462301
124301;462401
124302;462402
124303;462403
124304;462404
124401;462501
124402;462502
124501;462605
124502;462606
124601;462601
124602;462602
124603;462603
124604;462604
124701;462701
124702;462702
124703;462703
124704;462704
124705;462705
124706;462706
124707;462707
124708;462708
125101;462801
125102;462802
125103;462803
125201;462901
125301;463001
125302;463002
125303;463003
125304;463004
125601;463105
125602;463106
125901;462607
125902;462608
126001;463107
126002;463108
126301;463101
126302;463102
126303;463103
126304;463104
126401;463201
126501;463301
126601;463401
140101;460201
140102;460202
140103;460203
141101;463501
141102;463502
141103;463503
141201;463601
141301;463701
141601;463801
141602;463802
141603;463803
141701;463901
141801;464006
141801;463801
141901;464005
142001;464001
142002;464002
142003;464003
142004;464004
142101;464101
142201;464201
142401;464301
142402;464302
142601;464401
142602;464402
142603;464403
142801;464501
142802;464502
142902;464602
143001;464706
143101;464704
143102;464705
143201;464701
143202;464702
143203;464703
143301;464707
143801;464801
143802;464802
143901;460204
143902;460205
143902;464903
143903;460206
144101;464904
144102;464905
144301;464901
144302;464902
144303;464903
144401;157706
144401;465101
144501;465001
144502;465002
144503;465003
144901;465101
144902;465102
144903;465103
144904;465104
150201;150601
150202;150602
150203;150603
150204;150604
150205;150605
150206;150606
150207;150607
150301;150501
150302;150502
150303;150503
150304;150504
150305;150505
150306;150506
150307;150507
150308;150508
150309;150509
150401;150801
150402;150802
150403;150803
150404;150804
150405;150805
150406;150806
150407;150807
150408;150808
150409;150809
150410;150810
150701;150801
150702;150802
150703;150803
150704;150804
150705;150805
150706;150806
150707;150807
150708;150808
150709;150809
150710;150810
150711;158001
150712;158002
150713;158003
150714;158004
150715;150811
150716;150812
150717;150813
151401;151103
151901;157701
151902;157702
151903;157703
151904;157704
151905;157705
152004;157703
152301;150812
152401;157802
152601;157801
152901;150811
153401;158001
153402;158002
153403;158003
153404;158004
153901;153503
154301;150608
154302;150609
154501;150610
154601;150813
154601;154701
154801;157901
154802;157902
154803;157903
154804;157904
154805;157905
154806;157906
154807;157907
155101;157908
155601;150511
155602;150512
155603;150513
156701;506101
156901;157601
157101;505504
157102;505505
157201;157602
160111;500111
160112;500112
160113;500113
160114;500114
160115;500115
160116;500116
160121;500121
160122;500122
160123;500123
160131;500131
160132;500132
160141;500141
160142;500142
160143;500143
160144;500145
160144;500146
160145;500145
160146;500146
160151;500151
160152;500152
160153;500153
160161;500162
160161;500172
160162;500162
160171;500172
160172;500172
160173;500172
160173;500175
160174;500174
160175;500175
160181;500181
161201;501101
161201;505501
161202;501102
161202;505502
161203;501103
161203;505503
161301;501201
161301;505909
161301;505508
161301;505603
161701;501301
161701;505601
161702;501302
161702;505602
162001;501401
162002;501402
162003;501403
162101;501501
162101;505701
162102;501502
162102;505702
162201;501601
162201;505908
162401;505401
162402;505402
162403;505403
162404;505404
162701;501701
162701;505703
162702;501702
162702;505704
163001;501801
163001;505801
163002;501802
163002;505802
163201;501901
163201;505803
163301;502001
163401;502101
163402;502102
163403;502103
163501;502201
163502;502202
163601;502301
163601;505905
163602;502302
163602;505906
163801;502401
163801;505901
163802;502402
163802;505902
163803;502403
163803;505903
163804;502404
